id,name,slug,created_at,updated_at
861,Beach Wear,beach-wear,NULL,NULL
862,Body,body,NULL,NULL
863,Bottoms,bottoms,NULL,NULL
864,Outwear,outwear,NULL,NULL
865,Plus Size,plus-size,NULL,NULL
866,Shirt,shirt,NULL,NULL
867,Sportswear,sportswear,NULL,NULL
868,T-Shirts,t-shirts,NULL,NULL
869,Clothing Set,clothing-set,NULL,NULL
870,Dresses,dresses,NULL,NULL
871,Jumpsuits,jumpsuits,NULL,NULL
872,Maternity,maternity,NULL,NULL
873,Tops,tops,NULL,NULL
874,Casual Shoes,casual-shoes,NULL,NULL
875,Sandals,sandals,NULL,NULL
876,Shoe Care,shoe-care,NULL,NULL
877,Sports Shoes,sports-shoes,NULL,NULL
878,Boots,boots,NULL,NULL
879,Formal Shoes,formal-shoes,NULL,NULL
880,Slippers,slippers,NULL,NULL
881,Flats,flats,NULL,NULL
882,Heels,heels,NULL,NULL
883,Wedges,wedges,NULL,NULL
884,Free Item Gift,free-item-gift,NULL,NULL
885,Hand Accessories,hand-accessories,NULL,NULL
886,Hair Accessories,hair-accessories,NULL,NULL
887,School,school,NULL,NULL
888,Baby Products,baby-products,NULL,NULL
889,Bags,bags,NULL,NULL
890,Belts,belts,NULL,NULL
891,Eye wear,eye-wear,NULL,NULL
892,Scarves,scarves,NULL,NULL
893,Technology,technology,NULL,NULL
894,Luggage,luggage,NULL,NULL
895,Suit Accessories,suit-accessories,NULL,NULL
896,Head Accessories,head-accessories,NULL,NULL
897,Beauty Accessories,beauty-accessories,NULL,NULL
898,Jewellery,jewellery,NULL,NULL
899,Cosmetics Kit,cosmetics-kit,NULL,NULL
900,Eyes,eyes,NULL,NULL
901,Face,face,NULL,NULL
902,Lips,lips,NULL,NULL
903,Nails,nails,NULL,NULL
904,Eau De Perfum,eau-de-perfum,NULL,NULL
905,Mist & Spray,mist-&-spray,NULL,NULL
906,Haircare,haircare,NULL,NULL
907,Skincare,skincare,NULL,NULL
908,Infants,infants,NULL,NULL
909,Pajama,pajama,NULL,NULL
910,Pre-Teens,pre-teens,NULL,NULL
911,Teens,teens,NULL,NULL
912,Toddlers,toddlers,NULL,NULL
913,Beach Wear,beach-wear,NULL,NULL
